category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Raphael,71,44,33,0,-2,46,0,-2,33,-2,0,50,54,-2,43,-2,-2,-2,-2,33,-2,38,50,-2,-2,39,-2,53,18,48,33,33,-2,100,37,0,21,-2,65,50,29,-2,-2,-2,-2,25,20,24,14,100,-2,40,40,45,-2,100,24,24,-2,14,100,-2,0,-2,-2,0,25,38,54,60,-2,-2,-2,86,-2,64,0,13,30,100,-2,0,54,62
Raptors,65,39,38,25,-2,31,15,-2,73,-2,19,51,38,19,53,40,-2,69,-2,45,-2,70,40,50,-2,21,67,100,67,47,35,47,95,75,27,45,40,27,67,59,13,-2,29,25,-2,100,0,25,75,60,-2,78,100,39,-2,35,100,33,79,71,18,100,-2,65,-2,36,30,39,33,71,20,25,0,71,76,64,30,32,36,29,50,15,44,56
Robin Hood,58,47,50,13,-2,81,51,-2,69,-2,69,58,50,61,51,39,-2,61,-2,50,-2,67,67,56,-2,47,33,88,50,84,63,51,79,59,60,100,63,40,37,59,37,-2,16,36,-2,-2,50,61,73,84,-2,59,57,69,-2,63,-2,76,35,33,68,-2,35,-2,-2,54,56,82,0,57,57,29,50,52,89,59,37,47,52,50,33,58,50,78
Robin Hood - Alt 1.0,-2,-2,-2,-2,50,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2
Shakespeare,76,41,20,50,-2,63,56,-2,59,-2,42,54,50,50,53,100,-2,100,-2,40,-2,100,100,47,-2,61,0,50,100,83,0,88,67,20,64,0,88,67,44,50,100,-2,0,50,-2,-2,0,52,100,88,-2,67,-2,51,-2,40,100,68,0,100,30,100,64,46,-2,-2,75,50,-2,31,75,0,-2,100,76,55,60,54,67,33,0,20,0,100
She-Hulk,55,56,63,100,-2,40,33,-2,54,-2,22,24,50,25,33,-2,-2,-2,-2,29,-2,0,25,-2,-2,42,0,57,40,44,0,20,56,75,33,8,78,0,30,45,67,-2,50,0,-2,0,100,26,67,48,-2,51,-2,56,-2,36,-2,47,0,0,50,75,70,44,-2,25,-2,58,29,44,40,-2,50,50,47,20,25,40,73,100,-2,32,52,38
Sherlock Holmes,27,33,67,33,-2,28,21,-2,23,-2,18,32,72,17,20,0,-2,33,-2,37,-2,0,0,50,-2,0,67,51,25,80,36,31,33,33,0,11,40,0,62,26,0,-2,25,0,-2,0,-2,29,100,18,-2,51,75,20,-2,75,-2,29,0,0,0,63,61,18,-2,50,42,-2,60,43,-2,0,-2,42,57,44,67,61,35,0,-2,17,40,54
Shredder,83,36,20,-2,-2,60,-2,-2,78,-2,-2,38,52,0,50,0,-2,-2,-2,50,-2,29,58,100,-2,32,-2,30,42,60,-2,50,-2,60,53,100,50,100,25,-2,-2,-2,-2,-2,-2,25,74,53,70,0,-2,100,64,33,-2,-2,40,29,0,0,-2,46,67,100,-2,-2,71,40,-2,23,-2,-2,-2,67,-2,40,33,43,28,-2,-2,0,47,38
Sinbad,64,57,52,25,0,51,17,100,78,60,38,32,50,29,56,0,100,40,100,22,75,46,58,58,0,36,0,83,50,49,47,76,76,71,14,47,44,34,65,79,8,0,47,46,0,25,43,20,49,71,-2,70,-2,61,-2,35,-2,44,0,67,38,40,29,43,50,69,56,57,77,-2,0,40,67,84,59,30,28,59,45,50,0,54,19,8
Spider-Man,55,25,67,0,-2,75,80,-2,53,-2,43,50,0,83,50,25,-2,73,-2,43,-2,0,100,56,-2,73,70,85,-2,100,43,70,0,75,90,100,75,38,75,100,71,-2,26,40,-2,-2,50,93,40,71,-2,-2,50,92,-2,25,0,0,52,-2,67,-2,80,43,-2,25,60,-2,-2,100,-2,40,79,100,67,20,86,50,91,100,14,50,100,80
Spike,100,75,-2,50,-2,100,50,-2,50,-2,0,-2,-2,50,67,50,-2,50,-2,50,-2,0,-2,33,-2,-2,50,-2,-2,-2,100,100,50,-2,-2,100,50,100,100,75,100,-2,57,50,-2,-2,-2,100,100,80,-2,-2,50,50,-2,33,-2,0,100,50,-2,-2,75,71,-2,100,-2,100,-2,60,60,-2,50,67,-2,67,-2,0,60,100,71,0,-2,100
Squirrel Girl,75,67,100,50,-2,50,100,-2,67,-2,33,-2,-2,35,61,33,-2,80,-2,67,-2,-2,-2,71,-2,100,63,50,-2,100,100,100,0,0,0,67,0,100,0,50,40,-2,81,20,-2,-2,-2,40,-2,100,-2,-2,50,100,-2,38,-2,-2,50,-2,0,-2,100,50,-2,-2,50,-2,-2,33,21,50,-2,100,50,40,100,-2,100,-2,29,100,-2,70
Sun Wukong,22,9,40,-2,-2,10,20,-2,18,-2,44,49,43,18,61,80,-2,0,-2,31,-2,19,36,0,-2,67,-2,80,100,38,31,28,86,13,33,50,31,-2,53,21,0,-2,0,20,-2,0,0,42,31,38,-2,71,-2,10,-2,0,0,58,0,50,33,14,29,48,-2,0,50,58,33,16,0,33,0,-2,71,37,0,20,8,-2,0,56,60,64
T. Rex,58,57,5,-2,-2,60,29,-2,61,-2,58,15,-2,0,53,33,-2,0,-2,12,-2,36,44,60,-2,50,0,25,-2,44,69,21,85,38,58,4,43,33,46,41,33,-2,0,33,-2,-2,-2,35,15,36,-2,45,38,43,-2,50,-2,36,100,29,16,-2,24,11,-2,24,53,43,-2,41,33,-2,50,29,-2,52,44,59,34,-2,0,10,33,45
The Genie,84,58,52,33,-2,43,67,-2,86,-2,59,56,46,52,56,100,-2,100,-2,32,-2,23,62,41,-2,27,71,75,71,72,71,41,50,50,35,31,79,33,52,47,33,-2,33,29,-2,60,44,60,34,89,-2,73,24,71,-2,64,60,68,65,37,33,36,36,41,-2,45,80,56,60,70,80,33,60,63,48,-2,62,64,47,33,-2,45,58,71
The Wayward Sisters,60,63,35,100,-2,39,100,-2,69,-2,100,33,75,50,53,-2,-2,0,-2,55,-2,100,0,0,-2,69,67,100,0,67,63,33,-2,60,47,0,33,33,58,20,0,-2,33,100,-2,-2,0,74,33,69,-2,50,-2,78,-2,50,40,53,33,100,44,100,70,63,-2,40,75,33,67,72,14,-2,0,100,56,38,-2,70,55,67,-2,0,20,88
Titania,60,40,45,100,-2,44,0,-2,78,-2,50,62,86,75,0,0,-2,100,-2,43,-2,60,83,0,-2,50,-2,38,40,67,57,60,100,58,46,33,67,40,60,52,0,-2,33,0,-2,75,78,61,80,61,-2,79,20,60,38,100,33,49,33,43,71,88,68,53,-2,46,60,39,57,41,50,100,-2,80,41,36,30,-2,50,100,0,38,67,75
Tomoe Gozen,66,52,38,0,0,65,47,100,67,-2,35,29,54,59,54,0,-2,-2,-2,26,0,50,41,67,75,18,50,54,67,45,38,37,100,67,53,15,36,60,65,47,-2,0,44,0,0,33,45,58,53,71,-2,74,33,41,-2,33,6,44,53,50,50,70,64,48,0,33,27,65,72,55,9,40,0,92,66,53,45,50,-2,89,0,23,60,67
Triss,45,-2,33,-2,-2,50,-2,-2,50,-2,-2,20,-2,0,0,0,-2,-2,-2,-2,-2,52,42,-2,-2,75,-2,50,-2,50,-2,0,100,41,38,-2,75,33,78,-2,100,-2,-2,-2,-2,-2,-2,43,33,47,-2,40,-2,-2,-2,-2,0,38,-2,38,46,0,71,50,-2,67,0,100,-2,50,0,0,-2,-2,-2,67,33,0,11,-2,-2,100,-2,33
Willow,67,100,-2,43,-2,0,100,-2,75,-2,-2,-2,100,100,100,67,-2,100,-2,100,-2,-2,-2,-2,-2,50,50,-2,-2,-2,-2,100,-2,-2,-2,100,-2,-2,100,50,83,-2,54,56,-2,-2,-2,100,100,100,-2,-2,-2,100,-2,100,-2,100,100,-2,100,-2,50,67,-2,100,-2,-2,-2,100,86,29,71,100,100,-2,-2,100,100,-2,-2,-2,100,100
Winter Soldier,75,57,63,-2,-2,88,29,-2,79,-2,38,52,0,0,75,0,-2,100,-2,43,-2,100,33,50,-2,52,25,63,0,50,40,67,55,67,100,42,22,50,93,26,-2,-2,80,0,-2,0,67,74,100,81,-2,46,100,77,-2,43,100,73,33,-2,100,100,85,42,-2,80,68,83,100,46,50,100,0,44,90,55,100,62,77,0,-2,-2,73,58
Yennefer,58,25,43,0,-2,20,0,-2,45,-2,22,50,37,0,67,-2,-2,-2,-2,0,-2,63,40,67,-2,59,0,74,13,42,100,56,80,46,61,50,61,-2,76,0,50,-2,-2,0,-2,0,0,45,45,70,-2,46,0,22,-2,50,-2,45,0,60,41,46,56,50,-2,100,48,60,53,81,0,-2,-2,40,67,42,80,33,40,-2,0,27,-2,21
Yennenga,43,36,15,0,-2,32,15,-2,38,-2,55,51,63,54,57,50,-2,33,-2,62,-2,34,66,44,-2,64,100,43,13,49,60,20,83,41,35,37,78,50,48,7,0,-2,38,39,-2,50,20,55,23,60,-2,42,50,26,-2,23,0,60,0,46,33,38,44,22,-2,0,62,46,62,92,20,0,30,36,55,29,13,25,33,67,0,42,79,-2
