category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Squirrel Girl,4,3,1,8,0,2,2,0,3,0,3,0,0,23,18,6,0,5,0,3,0,0,0,17,0,2,8,2,0,1,2,2,1,1,1,3,1,1,1,2,15,0,16,5,0,0,0,5,0,1,0,0,2,2,0,15,0,0,2,0,1,0,1,2,0,0,2,0,0,3,13,2,0,4,3,5,2,0,1,0,7,2,0,10
Sun Wukong,147,23,10,0,0,10,10,0,99,0,50,35,67,39,69,5,0,1,0,29,0,27,14,4,0,83,0,45,1,66,16,39,22,8,6,58,108,0,131,47,7,0,5,5,0,1,1,101,29,122,0,106,0,42,0,2,1,114,2,42,3,7,34,65,0,3,88,73,3,49,4,3,4,0,96,41,2,15,24,0,2,68,20,181
T. Rex,118,105,19,0,0,20,21,0,84,0,57,27,0,5,31,3,0,2,0,43,0,7,9,6,0,117,1,83,0,32,62,19,20,8,33,26,35,1,65,79,9,0,3,3,0,0,0,52,7,115,0,58,13,96,0,2,0,50,1,10,24,0,25,31,0,17,111,28,0,49,18,0,3,96,0,70,27,44,47,0,3,40,3,85
The Genie,63,52,32,3,0,30,27,0,36,0,49,70,39,54,76,1,0,1,0,44,0,46,34,22,0,45,7,12,7,25,68,60,4,70,17,42,34,6,117,51,12,0,6,7,0,20,9,83,40,36,0,30,20,45,0,11,10,57,20,29,67,39,83,78,0,11,5,32,14,23,5,3,5,41,70,0,45,61,208,3,0,66,57,91
The Wayward Sisters,20,8,25,1,0,18,1,0,32,0,1,12,4,12,15,0,0,1,0,11,0,5,1,1,0,13,3,2,2,9,8,18,0,15,15,2,15,15,12,5,3,0,3,1,0,0,1,27,6,16,0,6,0,27,0,8,5,19,3,1,16,1,30,30,0,40,4,3,3,17,7,0,2,2,27,45,0,40,49,12,0,2,10,8
Titania,30,15,33,1,0,52,2,0,9,0,8,42,7,16,5,1,0,1,0,7,0,10,5,1,0,30,0,13,4,18,7,25,1,12,35,9,9,20,10,44,2,0,3,4,0,8,9,64,10,28,0,24,10,52,13,4,3,37,6,7,14,8,71,17,0,67,5,28,7,27,8,1,0,15,44,61,40,0,113,2,1,29,6,8
Tomoe Gozen,100,31,40,1,1,51,19,1,78,0,19,106,37,59,56,1,0,0,0,31,2,30,63,3,4,73,2,52,21,89,37,51,4,52,40,13,88,5,46,43,0,1,9,3,2,12,22,69,45,69,0,57,18,78,0,9,16,179,51,22,42,23,80,63,2,30,52,17,17,41,11,4,1,24,47,208,49,113,0,9,1,62,55,95
Triss,19,0,3,0,0,4,0,0,12,0,0,5,0,1,2,1,0,0,0,0,0,23,12,0,0,4,0,2,0,8,0,1,1,27,24,0,8,3,18,0,1,0,0,0,0,0,0,7,3,19,0,10,0,0,0,0,1,13,0,7,13,1,7,2,0,3,1,3,0,4,1,1,0,0,0,3,12,2,9,0,0,1,0,3
Willow,3,4,0,7,0,1,2,0,4,0,0,0,1,12,5,3,0,1,0,1,0,0,0,0,0,2,8,0,0,0,0,1,0,0,0,1,0,0,2,2,6,0,13,9,0,0,0,3,3,5,0,0,0,1,0,2,0,1,2,0,1,0,2,3,0,1,0,0,0,6,7,7,7,2,3,0,0,1,1,0,0,0,1,1
Winter Soldier,28,7,8,0,0,16,7,0,24,0,68,120,3,4,8,1,0,1,0,47,0,3,3,14,0,46,4,75,1,8,5,18,11,3,3,12,18,4,56,19,0,0,5,2,0,1,9,38,1,16,0,87,2,52,0,7,2,84,3,0,1,1,39,31,0,5,59,59,2,24,12,1,2,68,40,66,2,29,62,1,0,0,15,106
Yennefer,52,4,61,1,0,5,2,0,42,0,9,2,41,4,6,0,0,0,0,4,0,24,92,3,0,61,1,23,8,63,1,16,5,78,36,4,23,0,49,7,2,0,0,1,0,3,4,39,33,10,0,50,3,23,0,2,0,48,1,15,41,23,17,4,0,1,21,25,17,35,2,0,0,20,3,57,10,6,55,0,1,15,0,34
Yennenga,300,35,20,1,0,22,13,0,234,0,47,68,41,87,104,2,0,9,0,93,0,38,38,34,0,158,5,80,7,94,87,61,36,96,17,27,64,2,236,30,14,0,13,18,0,7,5,186,31,146,0,302,2,82,0,13,1,144,3,61,42,13,79,100,0,1,81,50,13,145,5,3,10,181,85,91,8,8,95,3,1,106,34,0
